,primary_title,genres,averagerating,primary_name,death_year,primary_profession,writer_rating,nummovies
3719,Inside Llewyn Davis,"Drama,Music",7.5,Ethan Coen,,"producer,writer,director",7.175,8.0
3720,Inside Llewyn Davis,"Drama,Music",7.5,Joel Coen,,"producer,writer,director",7.175,8.0
3728,The Grand Budapest Hotel,"Adventure,Comedy,Crime",8.1,Wes Anderson,,"writer,director,producer",7.933333333333334,3.0
3736,PK,"Comedy,Drama,Fantasy",8.2,Rajkumar Hirani,,"writer,editor,director",8.05,3.0
3742,Special 26,"Crime,Drama,Thriller",8.0,Neeraj Pandey,,"writer,editorial_department,producer",7.8999999999999995,3.0
3766,The Brothers Grimsby,"Action,Adventure,Comedy",6.2,Phil Johnston,,"writer,producer,actor",7.1,5.0
3780,Ex Machina,"Drama,Mystery,Sci-Fi",7.7,Alex Garland,,"writer,producer,director",7.300000000000001,4.0
3848,The Body,"Mystery,Thriller",7.6,Oriol Paulo,,"writer,director,editorial_department",7.733333333333333,4.0
3905,Sarkar,"Action,Drama",7.1,A.R. Murugadoss,,"writer,director,actor",7.6,6.0
3964,The Great Beauty,Drama,7.8,Paolo Sorrentino,,"writer,director,actor",7.266666666666667,3.0
3972,Bone Tomahawk,"Adventure,Drama,Horror",7.1,S. Craig Zahler,,"writer,director,cinematographer",7.099999999999999,3.0
3978,The Garden of Words,"Animation,Drama,Romance",7.6,Makoto Shinkai,,"writer,art_department,director",7.733333333333334,3.0
4001,Youth,"Comedy,Drama,Music",7.3,Paolo Sorrentino,,"writer,director,actor",7.266666666666667,3.0
4010,Samba,"Comedy,Drama,Romance",6.7,Olivier Nakache,,"writer,director,producer",7.6,3.0
4011,Samba,"Comedy,Drama,Romance",6.7,Éric Toledano,,"writer,director,producer",7.6,3.0
4026,Sicario: Day of the Soldado,"Action,Crime,Drama",7.1,Taylor Sheridan,,"actor,writer,director",7.7,4.0
4033,Ralph Breaks the Internet,"Adventure,Animation,Comedy",7.1,Rich Moore,,"miscellaneous,director,art_department",7.599999999999999,3.0
4036,Ralph Breaks the Internet,"Adventure,Animation,Comedy",7.1,Phil Johnston,,"writer,producer,actor",7.1,5.0
4049,Vice,"Biography,Comedy,Drama",7.2,Adam McKay,,"producer,writer,director",7.0,7.0
4050,Bad Times at the El Royale,"Crime,Drama,Mystery",7.1,Drew Goddard,,"producer,writer,miscellaneous",7.05,4.0
4082,Louder Than Bombs,Drama,6.6,Joachim Trier,,"director,writer,soundtrack",7.1000000000000005,3.0
4087,Eega,"Action,Comedy,Fantasy",7.8,S.S. Rajamouli,,"writer,producer,director",8.066666666666668,3.0
4107,Midnight Special,"Action,Drama,Mystery",6.6,Jeff Nichols,,"writer,director,producer",7.1,4.0
4110,Young & Beautiful,"Drama,Romance",6.8,François Ozon,,"director,writer,editor",7.233333333333333,3.0
4111,Kingsman: The Secret Service,"Action,Adventure,Comedy",7.7,Matthew Vaughn,,"producer,writer,director",7.449999999999999,6.0
4217,Baby Driver,"Action,Crime,Drama",7.6,Edgar Wright,,"director,writer,actor",7.366666666666667,5.0
4219,M.S. Dhoni: The Untold Story,"Biography,Drama,Sport",7.7,Neeraj Pandey,,"writer,editorial_department,producer",7.8999999999999995,3.0
4257,Man of Steel,"Action,Adventure,Sci-Fi",7.1,Christopher Nolan,,"writer,producer,director",8.425,5.0
4285,Kaththi,"Action,Drama",8.0,A.R. Murugadoss,,"writer,director,actor",7.6,6.0
4296,Loving,"Biography,Drama,Romance",7.0,Jeff Nichols,,"writer,director,producer",7.1,4.0
4302,Get Out,"Horror,Mystery,Thriller",7.7,Jordan Peele,,"actor,writer,producer",7.4,3.0
4315,The Avengers,"Action,Adventure,Sci-Fi",8.1,Joss Whedon,,"writer,producer,director",7.533333333333334,6.0
4324,Biutiful,"Drama,Romance",7.5,Alejandro G. Iñárritu,,"producer,director,writer",7.733333333333333,3.0
4357,Cedar Rapids,Comedy,6.3,Phil Johnston,,"writer,producer,actor",7.1,5.0
4369,Grudge Match,"Comedy,Drama,Sport",6.4,Rodney Rothman,,"writer,producer,director",8.5,3.0
4378,Inherent Vice,"Comedy,Crime,Drama",6.7,Paul Thomas Anderson,,"director,writer,producer",7.1000000000000005,3.0
4400,Dunkirk,"Action,Drama,History",7.9,Christopher Nolan,,"writer,producer,director",8.425,5.0
4416,Suburbicon,"Comedy,Crime,Drama",5.6,Ethan Coen,,"producer,writer,director",7.175,8.0
4417,Suburbicon,"Comedy,Crime,Drama",5.6,Joel Coen,,"producer,writer,director",7.175,8.0
4422,Trash,"Adventure,Crime,Drama",7.2,Richard Curtis,,"writer,producer,director",7.8,4.0
4440,I,"Action,Drama,Thriller",7.4,S. Shankar,,"writer,director,producer",7.15,4.0
4450,The Mummy,"Action,Adventure,Fantasy",5.5,Christopher McQuarrie,,"writer,producer,director",7.400000000000001,7.0
4485,The Conjuring 2,"Drama,Horror,Mystery",7.4,James Wan,,"producer,writer,director",7.116666666666667,4.0
4522,Your Name.,"Animation,Drama,Fantasy",8.4,Makoto Shinkai,,"writer,art_department,director",7.733333333333334,3.0
4525,Loveless,Drama,7.7,Andrey Zvyagintsev,,"director,actor,writer",7.533333333333334,3.0
4567,Frances Ha,"Comedy,Drama,Romance",7.4,Greta Gerwig,,"actress,writer,producer",7.4,3.0
4595,The Shack,"Drama,Fantasy",6.3,Destin Daniel Cretton,,"director,producer,writer",7.6,3.0
4600,Ugly,"Crime,Drama,Mystery",8.1,Anurag Kashyap,,"producer,writer,director",7.866666666666667,7.0
4656,Aquaman,"Action,Adventure,Fantasy",7.1,James Wan,,"producer,writer,director",7.116666666666667,4.0
4681,Udaan,Drama,8.2,Anurag Kashyap,,"producer,writer,director",7.866666666666667,7.0
4692,Moonrise Kingdom,"Adventure,Comedy,Drama",7.8,Wes Anderson,,"writer,director,producer",7.933333333333334,3.0
4718,The Gift,"Drama,Mystery,Thriller",7.1,Joel Edgerton,,"actor,writer,producer",7.05,4.0
4722,Hidden Figures,"Biography,Drama,History",7.8,Theodore Melfi,,"producer,director,writer",7.55,3.0
4725,The Sisters Brothers,"Adventure,Comedy,Crime",7.0,Jacques Audiard,,"writer,director,editorial_department",7.233333333333333,3.0
4757,The Social Network,"Biography,Drama",7.7,Aaron Sorkin,,"writer,producer,actor",7.5,4.0
4786,Win Win,"Comedy,Drama,Sport",7.2,Tom McCarthy,,"actor,producer,writer",7.033333333333334,5.0
4835,Frantz,"Drama,History,Romance",7.5,François Ozon,,"director,writer,editor",7.233333333333333,3.0
4899,Jane Got a Gun,"Action,Drama,Western",5.9,Joel Edgerton,,"actor,writer,producer",7.05,4.0
4932,Shaun the Sheep Movie,"Adventure,Animation,Comedy",7.4,Mark Burton,,"writer,miscellaneous,producer",7.4,5.0
4936,Bad Grandpa,Comedy,6.5,Spike Jonze,,"producer,director,writer",8.0,3.0
4944,The Cobbler,"Comedy,Drama,Fantasy",5.8,Tom McCarthy,,"actor,producer,writer",7.033333333333334,5.0
4968,The Cabin in the Woods,Horror,7.0,Joss Whedon,,"writer,producer,director",7.533333333333334,6.0
4969,The Cabin in the Woods,Horror,7.0,Drew Goddard,,"producer,writer,miscellaneous",7.05,4.0
4979,True Grit,"Adventure,Drama,Western",7.6,Ethan Coen,,"producer,writer,director",7.175,8.0
4980,True Grit,"Adventure,Drama,Western",7.6,Joel Coen,,"producer,writer,director",7.175,8.0
4994,The Secret World of Arrietty,"Adventure,Animation,Family",7.6,Hayao Miyazaki,,"animation_department,director,writer",7.8,3.0
5010,How to Train Your Dragon 2,"Action,Adventure,Animation",7.8,Dean DeBlois,,"writer,animation_department,director",7.833333333333333,3.0
5048,Baahubali 2: The Conclusion,"Action,Drama",8.3,S.S. Rajamouli,,"writer,producer,director",8.066666666666668,3.0
5071,Sanju,"Biography,Drama",7.9,Rajkumar Hirani,,"writer,editor,director",8.05,3.0
5085,The Tourist,"Action,Adventure,Thriller",6.0,Christopher McQuarrie,,"writer,producer,director",7.400000000000001,7.0
5212,Once Upon a Time in Anatolia,"Crime,Drama",7.9,Nuri Bilge Ceylan,,"director,writer,editor",8.1,3.0
5215,Penguins of Madagascar,"Adventure,Animation,Comedy",6.7,Mark Burton,,"writer,miscellaneous,producer",7.4,5.0
5248,About Time,"Comedy,Drama,Fantasy",7.8,Richard Curtis,,"writer,producer,director",7.8,4.0
5265,Annihilation,"Adventure,Drama,Horror",6.9,Alex Garland,,"writer,producer,director",7.300000000000001,4.0
5272,Highway,"Crime,Drama,Romance",7.7,Imtiaz Ali,,"writer,director,actor",7.0,5.0
5278,The Spectacle,"Comedy,Drama,Romance",7.2,Imtiaz Ali,,"writer,director,actor",7.0,5.0
5290,What We Do in the Shadows,"Comedy,Horror",7.7,Taika Waititi,,"actor,producer,director",7.75,3.0
5297,Mirage,"Drama,Mystery,Romance",7.5,Oriol Paulo,,"writer,director,editorial_department",7.733333333333333,4.0
5315,The Adventures of Tintin,"Action,Adventure,Animation",7.3,Edgar Wright,,"director,writer,actor",7.366666666666667,5.0
5412,Mission: Impossible - Fallout,"Action,Adventure,Thriller",7.8,Christopher McQuarrie,,"writer,producer,director",7.400000000000001,7.0
5419,Mid90s,"Comedy,Drama",7.4,Jonah Hill,,"actor,producer,writer",7.4,5.0
5430,Boyhood,Drama,7.9,Richard Linklater,,"producer,director,writer",7.3,5.0
5468,The Big Short,"Biography,Comedy,Drama",7.8,Adam McKay,,"producer,writer,director",7.0,7.0
5506,Much Ado About Nothing,"Comedy,Drama,Romance",7.2,Joss Whedon,,"writer,producer,director",7.533333333333334,6.0
5516,The Raid 2,"Action,Crime,Thriller",8.0,Gareth Evans,,"director,writer,editor",7.0,4.0
5519,Frozen,"Adventure,Animation,Comedy",7.5,Jennifer Lee,,"writer,miscellaneous,producer",7.5,4.0
5539,Leviathan,"Crime,Drama",7.6,Andrey Zvyagintsev,,"director,actor,writer",7.533333333333334,3.0
5569,World War Z,"Action,Adventure,Horror",7.0,Drew Goddard,,"producer,writer,miscellaneous",7.05,4.0
5585,Infinitely Polar Bear,"Comedy,Drama,Romance",7.0,Maya Forbes,,"producer,writer,miscellaneous",7.0,3.0
5588,Goliyon Ki Rasleela Ram-Leela,"Drama,Musical,Romance",6.4,Sanjay Leela Bhansali,,"producer,director,writer",7.025,4.0
5596,Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller",7.4,Christopher McQuarrie,,"writer,producer,director",7.400000000000001,7.0
5609,Baahubali: The Beginning,"Action,Drama",8.1,S.S. Rajamouli,,"writer,producer,director",8.066666666666668,3.0
5616,Winter Sleep,Drama,8.2,Nuri Bilge Ceylan,,"director,writer,editor",8.1,3.0
5673,Madagascar 3: Europe's Most Wanted,"Adventure,Animation,Comedy",6.8,Mark Burton,,"writer,miscellaneous,producer",7.4,5.0
5682,Don 2,"Action,Crime,Thriller",7.1,Farhan Akhtar,,"producer,actor,writer",7.1,4.0
5685,Inception,"Action,Adventure,Sci-Fi",8.8,Christopher Nolan,,"writer,producer,director",8.425,5.0
5715,Million Dollar Arm,"Biography,Drama,Sport",7.0,Tom McCarthy,,"actor,producer,writer",7.033333333333334,5.0
5729,Sausage Party,"Adventure,Animation,Comedy",6.2,Jonah Hill,,"actor,producer,writer",7.4,5.0
5736,The Place Beyond the Pines,"Crime,Drama,Thriller",7.3,Derek Cianfrance,,"director,writer,cinematographer",7.3,3.0
5739,Bridge of Spies,"Drama,History,Thriller",7.6,Ethan Coen,,"producer,writer,director",7.175,8.0
5740,Bridge of Spies,"Drama,History,Thriller",7.6,Joel Coen,,"producer,writer,director",7.175,8.0
5770,Wind River,"Crime,Drama,Mystery",7.7,Taylor Sheridan,,"actor,writer,director",7.7,4.0
5772,The Nun,"Horror,Mystery,Thriller",5.4,James Wan,,"producer,writer,director",7.116666666666667,4.0
5805,Grand Piano,"Music,Mystery,Thriller",5.9,Damien Chazelle,,"producer,writer,director",7.966666666666666,5.0
5815,Nanban,"Comedy,Drama",7.5,Rajkumar Hirani,,"writer,editor,director",8.05,3.0
5817,Nanban,"Comedy,Drama",7.5,S. Shankar,,"writer,director,producer",7.15,4.0
5834,Wonder,"Drama,Family",8.0,Stephen Chbosky,,"writer,producer,director",8.0,3.0
5839,Going in Style,"Comedy,Crime",6.6,Theodore Melfi,,"producer,director,writer",7.55,3.0
5882,Robin Hood,"Action,Adventure,Drama",6.6,Brian Helgeland,,"writer,director,producer",7.25,4.0
5900,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",7.4,Peter Jackson,,"producer,director,writer",7.875,4.0
5906,The Rover,"Action,Crime,Drama",6.4,Joel Edgerton,,"actor,writer,producer",7.05,4.0
5914,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",7.3,Joss Whedon,,"writer,producer,director",7.533333333333334,6.0
5923,The Light Between Oceans,"Drama,Romance",7.2,Derek Cianfrance,,"director,writer,cinematographer",7.3,3.0
5959,Mamma Mia! Here We Go Again,"Comedy,Musical,Romance",6.7,Richard Curtis,,"writer,producer,director",7.8,4.0
5970,Kick-Ass,"Action,Comedy",7.6,Matthew Vaughn,,"producer,writer,director",7.449999999999999,6.0
6013,Zindagi Na Milegi Dobara,"Comedy,Drama",8.1,Zoya Akhtar,,"writer,producer,director",7.733333333333334,4.0
6014,Zindagi Na Milegi Dobara,"Comedy,Drama",8.1,Farhan Akhtar,,"producer,actor,writer",7.1,4.0
6015,Zindagi Na Milegi Dobara,"Comedy,Drama",8.1,Reema Kagti,,"writer,producer,assistant_director",7.3,4.0
6036,Bernie,"Biography,Comedy,Crime",6.8,Richard Linklater,,"producer,director,writer",7.3,5.0
6072,The Salesman,"Drama,Thriller",7.8,Asghar Farhadi,,"writer,director,producer",7.7250000000000005,4.0
6073,Brawl in Cell Block 99,"Action,Crime,Drama",7.1,S. Craig Zahler,,"writer,director,cinematographer",7.099999999999999,3.0
6105,Ant-Man,"Action,Adventure,Comedy",7.3,Adam McKay,,"producer,writer,director",7.0,7.0
6107,Ant-Man,"Action,Adventure,Comedy",7.3,Edgar Wright,,"director,writer,actor",7.366666666666667,5.0
6112,Last Vegas,"Comedy,Drama",6.6,Dan Fogelman,,"writer,producer,miscellaneous",7.0,6.0
6178,"Oslo, August 31st",Drama,7.7,Joachim Trier,,"director,writer,soundtrack",7.1000000000000005,3.0
6182,The Campaign,Comedy,6.1,Adam McKay,,"producer,writer,director",7.0,7.0
6216,The Ballad of Buster Scruggs,"Comedy,Drama,Musical",7.3,Ethan Coen,,"producer,writer,director",7.175,8.0
6217,The Ballad of Buster Scruggs,"Comedy,Drama,Musical",7.3,Joel Coen,,"producer,writer,director",7.175,8.0
6231,American Hustle,"Crime,Drama",7.2,David O. Russell,,"producer,director,writer",7.324999999999999,3.0
6288,Venus in Fur,Drama,7.2,Roman Polanski,,"actor,director,writer",7.2,3.0
6292,Tom at the Farm,"Drama,Mystery,Thriller",7.0,Xavier Dolan,,"actor,writer,director",7.380000000000001,5.0
6304,Creed,"Drama,Sport",7.6,Ryan Coogler,,"director,writer,producer",7.466666666666666,4.0
6313,Us,"Horror,Mystery,Thriller",7.1,Jordan Peele,,"actor,writer,producer",7.4,3.0
6320,Gambit,"Comedy,Crime",5.7,Ethan Coen,,"producer,writer,director",7.175,8.0
6321,Gambit,"Comedy,Crime",5.7,Joel Coen,,"producer,writer,director",7.175,8.0
6324,Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",7.5,Edgar Wright,,"director,writer,actor",7.366666666666667,5.0
6362,The Other Guys,"Action,Comedy,Crime",6.7,Adam McKay,,"producer,writer,director",7.0,7.0
6366,Guzaarish,Drama,7.5,Sanjay Leela Bhansali,,"producer,director,writer",7.025,4.0
6384,War Horse,"Drama,History,War",7.2,Richard Curtis,,"writer,producer,director",7.8,4.0
6415,Talaash,"Crime,Drama,Mystery",7.3,Zoya Akhtar,,"writer,producer,director",7.733333333333334,4.0
6416,Talaash,"Crime,Drama,Mystery",7.3,Anurag Kashyap,,"producer,writer,director",7.866666666666667,7.0
6417,Talaash,"Crime,Drama,Mystery",7.3,Farhan Akhtar,,"producer,actor,writer",7.1,4.0
6418,Talaash,"Crime,Drama,Mystery",7.3,Reema Kagti,,"writer,producer,assistant_director",7.3,4.0
6452,Christopher Robin,"Adventure,Animation,Comedy",7.3,Tom McCarthy,,"actor,producer,writer",7.033333333333334,5.0
6487,The Raid: Redemption,"Action,Thriller",7.6,Gareth Evans,,"director,writer,editor",7.0,4.0
6493,Cloudy with a Chance of Meatballs 2,"Adventure,Animation,Comedy",6.4,Phil Lord,,"producer,writer,director",7.333333333333333,4.0
6494,Cloudy with a Chance of Meatballs 2,"Adventure,Animation,Comedy",6.4,Christopher Miller,,"producer,writer,director",7.333333333333333,3.0
6498,The Upside,"Comedy,Drama",6.7,Olivier Nakache,,"writer,director,producer",7.6,3.0
6499,The Upside,"Comedy,Drama",6.7,Éric Toledano,,"writer,director,producer",7.6,3.0
6516,How to Train Your Dragon: The Hidden World,"Action,Adventure,Animation",7.6,Dean DeBlois,,"writer,animation_department,director",7.833333333333333,3.0
6518,The Past,"Drama,Mystery",7.8,Asghar Farhadi,,"writer,director,producer",7.7250000000000005,4.0
6548,Boy Erased,"Biography,Drama",7.0,Joel Edgerton,,"actor,writer,producer",7.05,4.0
